id,name,scoreO,scoreS,scoreP,rankO,rankS,rankP,rankdeltaO,rankdeltaS,rankdeltaP
1,Aland,,,,,,,,,
2,Albania,,,,,,,,,
3,Algeria,,,,,,,,,
4,Andorra,,,,,,,,,
5,Armenia,,,,,,,,,
6,Austria,1.9,1.5,2.5,20,21,20,7,4,7
7,Azerbaijan,,,,,,,,,
8,Belarus,,,,,,,,,
9,Belgium,4.2,4.9,3.3,10,3,10,-6,8,-6
10,Bosnia and Herzegovina,,,,,,,,,
11,Bulgaria,1.2,0.5,2.1,27,26,27,-8,-4,-8
12,Croatia,1.5,1.3,1.8,14,17,14,0,-12,0
13,Cyprus,0.7,0.6,0.9,12,19,12,0,-9,0
14,Czech Republic,2.5,2.6,2.2,26,14,26,-8,4,-8
15,Denmark,2.1,2.0,2.2,11,8,11,0,-1,0
16,Egypt,,,,,,,,,
17,Estonia,0.8,0.7,1.0,18,18,18,-3,9,-3
18,Faroe Islands,,,,,,,,,
19,Finland,1.9,1.6,2.3,5,16,5,1,-12,1
20,France,15.4,18.8,10.4,22,2,22,-19,21,-19
21,Georgia,,,,,,,,,
22,Germany,12.2,11.6,12.9,19,15,19,-2,9,-2
23,Greece,2.8,3.1,2.5,24,9,24,-17,6,-17
24,Guernsey,,,,,,,,,
25,Hungary,2.2,1.9,2.7,23,20,23,0,-12,0
26,Iceland,,,,,,,,,
27,Iran,,,,,,,,,
28,Iraq,,,,,,,,,
29,Ireland,3.1,3.8,1.9,13,1,13,-12,12,-12
30,Isle of Man,,,,,,,,,
31,Israel,,,,,,,,,
32,Italy,10.5,10.4,10.6,16,11,16,-3,9,-3
33,Jersey,,,,,,,,,
34,Jordan,,,,,,,,,
35,Kosovo,,,,,,,,,
36,Latvia,0.9,0.6,1.3,8,22,8,18,-6,18
37,Lebanon,,,,,,,,,
38,Libya,,,,,,,,,
39,Liechtenstein,,,,,,,,,
40,Lithuania,0.9,0.3,1.8,4,27,4,20,-24,20
41,Luxembourg,1.0,1.0,1.1,2,6,2,18,-4,18
42,Macedonia,,,,,,,,,
43,Malta,1.0,1.0,1.1,1,7,1,4,-6,4
44,Moldova,,,,,,,,,
45,Monaco,,,,,,,,,
46,Montenegro,,,,,,,,,
47,Morocco,,,,,,,,,
48,Netherlands,4.0,3.8,4.2,15,13,15,1,8,1
49,Northern Cyprus,,,,,,,,,
50,Norway,,,,,,,,,
51,Palestine,,,,,,,,,
52,Poland,7.0,7.0,7.1,17,12,17,-8,0,-8
53,Portugal,3.6,3.6,3.5,3,5,3,7,1,7
54,Republic of Serbia,,,,,,,,,
55,Romania,3.5,2.3,5.4,6,24,6,19,-7,19
56,Russia,,,,,,,,,
57,San Marino,,,,,,,,,
58,Saudi Arabia,,,,,,,,,
59,Slovakia,1.0,0.7,1.6,25,25,25,-3,1,-3
60,Slovenia,1.2,1.1,1.3,9,10,9,-1,-1,-1
61,Spain,11.0,12.0,9.6,7,4,7,-5,10,-5
62,Sweden,2.0,1.5,2.8,21,23,21,0,-4,0
63,Switzerland,,,,,,,,,
64,Syria,,,,,,,,,
65,Tunisia,,,,,,,,,
66,Turkey,,,,,,,,,
67,Ukraine,,,,,,,,,
68,United Kingdom,,,,,,,,,
69,Vatican,,,,,,,,,
