id,name,scoreO,scoreS,scoreP,rankO,rankS,rankP,rankdeltaO,rankdeltaS,rankdeltaP
1,Aland,,,,,,,,,
2,Albania,,,,,,,,,
3,Algeria,,,,,,,,,
4,Andorra,,,,,,,,,
5,Armenia,,,,,,,,,
6,Austria,2.2,1.9,2.4,21,19,22,1,1,-3
7,Azerbaijan,,,,,,,,,
8,Belarus,,,,,,,,,
9,Belgium,3.5,4.3,2.7,7,5,21,-1,16,-17
10,Bosnia and Herzegovina,,,,,,,,,
11,Bulgaria,2.0,0.9,3.1,20,24,1,-6,-15,15
12,Croatia,1.5,1.1,1.8,19,20,12,2,-4,6
13,Cyprus,0.6,0.2,0.9,26,26,15,-7,-16,6
14,Czech Republic,3.4,4.4,2.4,10,3,26,0,12,-20
15,Denmark,2.3,2.7,1.8,9,7,19,3,7,-8
16,Egypt,,,,,,,,,
17,Estonia,1.2,1.1,1.2,6,11,5,5,-9,12
18,Faroe Islands,,,,,,,,,
19,Finland,2.3,2.5,2.0,8,8,14,-4,-1,-7
20,France,10.8,12.1,9.6,15,13,23,-6,13,-18
21,Georgia,,,,,,,,,
22,Germany,15.5,16.1,14.9,11,10,9,-3,2,0
23,Greece,2.7,2.7,2.7,18,14,20,-15,-1,-17
24,Guernsey,,,,,,,,,
25,Hungary,2.0,1.5,2.5,24,23,25,1,-5,0
26,Iceland,,,,,,,,,
27,Iran,,,,,,,,,
28,Iraq,,,,,,,,,
29,Ireland,2.6,3.5,1.8,1,1,17,17,21,-2
30,Isle of Man,,,,,,,,,
31,Israel,,,,,,,,,
32,Italy,8.5,7.7,9.2,22,17,24,-2,10,-11
33,Jersey,,,,,,,,,
34,Jordan,,,,,,,,,
35,Kosovo,,,,,,,,,
36,Latvia,1.1,0.9,1.4,13,16,3,4,-13,20
37,Lebanon,,,,,,,,,
38,Libya,,,,,,,,,
39,Liechtenstein,,,,,,,,,
40,Lithuania,0.9,0.1,1.6,27,27,13,0,-10,14
41,Luxembourg,0.8,0.6,1.0,16,18,7,8,-7,19
42,Macedonia,,,,,,,,,
43,Malta,1.0,1.0,1.0,4,9,4,-3,-8,-2
44,Moldova,,,,,,,,,
45,Monaco,,,,,,,,,
46,Montenegro,,,,,,,,,
47,Morocco,,,,,,,,,
48,Netherlands,4.9,5.7,4.2,5,6,16,0,0,-6
49,Northern Cyprus,,,,,,,,,
50,Norway,,,,,,,,,
51,Palestine,,,,,,,,,
52,Poland,7.2,6.5,7.8,14,15,11,2,9,3
53,Portugal,3.3,3.3,3.3,12,12,9,-5,-7,3
54,Republic of Serbia,,,,,,,,,
55,Romania,4.3,2.6,5.8,17,22,2,-2,-18,20
56,Russia,,,,,,,,,
57,San Marino,,,,,,,,,
58,Saudi Arabia,,,,,,,,,
59,Slovakia,1.3,0.7,1.9,25,25,18,-2,-2,2
60,Slovenia,1.6,1.9,1.3,2,2,8,11,17,0
61,Spain,10.8,12.2,9.5,3,4,6,-1,4,-5
62,Sweden,2.1,1.7,2.4,23,21,27,3,4,-3
63,Switzerland,,,,,,,,,
64,Syria,,,,,,,,,
65,Tunisia,,,,,,,,,
66,Turkey,,,,,,,,,
67,Ukraine,,,,,,,,,
68,United Kingdom,,,,,,,,,
69,Vatican,,,,,,,,,
