last name,first name,group,country,tw_handle,SocialInfluence,PoliticalInfluence,Green Deal Influence Total
EICKHOUT,Bas,Group of the Greens/European Free Alliance,Netherlands,@BasEickhout,93.87,100,97
CANFIN,Pascal,Renew Europe Group,France,@pcanfin,99.36,88.06,94
NIINISTÖ,Ville,Group of the Greens/European Free Alliance,Finland,@VilleNiinisto,99.38,54.38,77
GUTELAND,Jytte,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,@JytteGuteland,62.09,91.51,77
KARLESKIND,Pierre,Renew Europe Group,France,@Pierre_Ka,86.98,62.86,75
DELLI,Karima,Group of the Greens/European Free Alliance,France,@KarimaDelli,98.58,48.81,74
KATAINEN,Elsi,Renew Europe Group,Finland,@ElsiKatainen,74.31,68.97,72
CUFFE,Ciarán,Group of the Greens/European Free Alliance,Ireland,@CiaranCuffe,92.87,48.81,71
EVI,Eleonora,Non-attached Members,Italy,@EleonoraEvi,86.3,53.05,70
LUENA,César,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@cesarluena,83.46,55.17,69
JADOT,Yannick,Group of the Greens/European Free Alliance,France,@yjadot,98.93,39.52,69
TORVALDS,Nils,Renew Europe Group,Finland,@NilsTorvalds,56.71,80.9,69
KUMPULA-NATRI,Miapetra,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Finland,@miapetrakumpula,89.57,48.01,69
PIETIKÄINEN,Sirpa,Group of the European People's Party (Christian Democrats),Finland,@spietikainen,88.68,48.01,68
LIESE,Peter,Group of the European People's Party (Christian Democrats),Germany,@peterliese,63.51,70.03,67
WÖLKEN,Tiemo,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@woelken,89.19,42.71,66
HÄUSLING,Martin,Group of the Greens/European Free Alliance,Germany,@MartinHaeusling,90.16,39.52,65
HOLMGREN,Pär,Group of the Greens/European Free Alliance,Sweden,@ParHolmgren,94.37,33.16,64
VIRKKUNEN,Henna,Group of the European People's Party (Christian Democrats),Finland,@HennaVirkkunen,95.33,31.83,64
RIES,Frédérique,Renew Europe Group,Belgium,@Frederiqueries,74.56,51.99,63
HAZEKAMP,Anja,Group of the European United Left - Nordic Green Left,Netherlands,@anjahazekamp,45.56,79.58,63
