name,political,social,age,gender
Pascal CANFIN,100.00,98.98,47,Male
Bas EICKHOUT,87.91,93.14,45,Male
César LUENA,71.16,93.95,40,Male
Jytte GUTELAND,87.44,72.8,42,Female
Grace O'SULLIVAN,66.74,92.12,59,Female
Karima DELLI,59.53,98.42,42,Female
Ville NIINISTÖ,61.63,96.29,45,Male
Peter LIESE,74.42,79.51,56,Male
Pierre KARLESKIND,63.26,89.27,41,Male
Eleonora EVI,54.42,95.42,37,Female
Ciarán CUFFE,54.19,95.07,58,Male
Clara AGUILERA,67.91,79.92,57,Female
Martin HÄUSLING,45.81,97.66,60,Male
Eric ANDRIEU,53.02,90.39,61,Male
Tilly METZ,61.86,81.19,54,Female
Javi LÓPEZ,55.35,85.86,35,Male
Jutta PAULUS,43.26,95.88,54,Female
Delara BURKHARDT,53.95,84.14,28,Female
Yannick JADOT,44.65,92.07,54,Male
Anja HAZEKAMP,83.72,51.64,53,Female
Pär HOLMGREN,41.86,92.32,56,Male
Tiemo WÖLKEN,54.88,78.44,35,Male
María Soraya RODRÍGUEZ RAMOS,52.09,80.02,57,Female
Marie TOUSSAINT,31.16,98.98,34,Female
Kathleen VAN BREMPT,41.86,87.44,51,Female
Carlo CALENDA,31.63,96.29,48,Male
Paolo DE CASTRO,54.88,73,63,Male
Michael BLOSS,27.44,100,34,Male
Norbert LINS,69.30,58.1,43,Male
Nicolás GONZÁLEZ CASARES,43.26,83.78,49,Male
Irène TOLLERET,37.21,89.27,54,Female
Maria Da Graça CARVALHO,43.26,83.17,66,Female
Pernille WEISS,41.86,84.39,53,Female
Nils TORVALDS,80.93,44.88,76,Male
Sirpa PIETIKÄINEN,42.33,82.97,62,Female
Francisco GUERREIRO,44.19,81.08,37,Male
Lina GÁLVEZ MUÑOZ,48.37,76.76,52,Female
Mick WALLACE,36.74,88.36,65,Male
Fabienne KELLER,36.74,88.25,61,Female
Sven GIEGOLD,28.37,96.59,51,Male
Manuel BOMPARD,26.05,98.83,35,Male
Pierre LARROUTUROU,27.44,97.25,56,Male
Benoît BITEAU,31.16,93.54,54,Male
Michèle RIVASI,28.84,95.32,68,Female
Luke Ming FLANAGAN,37.67,86.22,49,Male
Jakop G. DALUNDE,38.60,85.1,37,Male
Brando BENIFEI,40.47,83.17,35,Male
Silvia MODIG,53.95,69.24,45,Female
Caroline ROOSE,33.95,88.2,52,Female
Miapetra KUMPULA-NATRI,38.60,83.53,49,Female
Margrete AUKEN,40.47,81.08,76,Female
Inma RODRÍGUEZ-PIÑERO,36.28,85.2,63,Female
Elsi KATAINEN,56.74,64.71,54,Female
Luis GARICANO,27.44,93.14,54,Male
Pascal DURAND,40.00,80.02,61,Male
Stéphane BIJOUX,35.35,84.59,51,Male
Thomas WAITZ,33.49,85.71,48,Male
David CORMAND,25.12,93.8,46,Male
Pierfrancesco MAJORINO,33.02,85.86,48,Male
Jérémy DECERLE,48.84,70,37,Male
Saskia BRICMONT,26.98,91.56,36,Female
Jacek SARYUSZ-WOLSKI,27.91,90.08,73,Male
Marisa MATIAS,34.88,82.97,45,Female
Ernest URTASUN,29.30,88,39,Male
Maria ARENA,41.40,75.9,54,Female
Isabel CARVALHAIS,57.21,59.53,48,Female
Catherine CHABAUD,40.93,75.8,58,Female
Manon AUBRY,17.21,98.68,31,Female
Petros KOKKALIS,48.84,66.95,51,Male
Frédérique RIES,60.93,54.69,62,Female
Anna CAVAZZINI,21.40,93.54,38,Female
Karen MELCHIOR,21.86,92.98,40,Female
Niels FUGLSANG,40.47,74.32,36,Male
Morten PETERSEN,50.23,64.36,55,Male
Sandro GOZI,33.02,80.93,53,Male
Ismail ERTUG,55.35,58.61,45,Male
Sylwia SPUREK,29.30,84.44,45,Female
Emma WIESNER,32.56,81.08,28,Female
Anna DEPARNAY-GRUNENBERG,34.42,79.2,45,Female
Iratxe GARCÍA PÉREZ,40.93,72.54,47,Female
Martin HOJSÍK,40.00,72.64,44,Male
Juan Ignacio ZOIDO ÁLVAREZ,29.30,82.92,64,Male
Claude GRUFFAT,26.05,86.12,64,Male
Anne SANDER,31.16,80.63,48,Female
Mohammed CHAHIM,45.12,66.39,36,Male
Ignazio CORRAO,32.09,79.36,37,Male
Christophe GRUDLER,45.12,65.88,56,Male
Younous OMARJEE,25.58,85.05,52,Male
Henna VIRKKUNEN,33.95,76.36,49,Female
Mónica Silvana GONZÁLEZ,35.81,74.47,45,Female
Antonio TAJANI,35.81,74.32,68,Male
Zdzisław KRASNODĘBSKI,53.37,56.78,68,Male
Sara CERDAS,50.70,58.81,32,Female
Hilde VAUTMANS,37.21,72.29,49,Female
Alessandra MORETTI,53.95,55.56,48,Female
Nathalie LOISEAU,33.02,76.05,57,Female
Pina PICIERNO,46.51,62.32,40,Female
Izaskun BILBAO BARANDICA,47.44,61.41,60,Female
Marie-Pierre VEDRENNE,34.42,74.27,38,Female
José Ramón BAUZÁ DÍAZ,47.91,60.64,50,Male
Sara MATTHIEU,30.70,77.83,40,Female
Łukasz KOHUT,35.81,71.98,39,Male
Sira REGO,27.91,79.76,47,Female
Jan HUITEMA,40.93,66.54,37,Male
François-Xavier BELLAMY,25.12,82.15,36,Male
Valérie HAYER,31.63,75.59,35,Female
Véronique TRILLET-LENOIR,46.98,59.98,64,Female
Guy VERHOFSTADT,33.49,73.46,68,Male
Reinhard BÜTIKOFER,21.86,84.9,68,Male
Carlos ZORRINHO,44.65,61.66,62,Male
Heidi HAUTALA,36.28,70,65,Female
Ibán GARCÍA DEL BLANCO,34.42,71.73,44,Male
Aurore LALUCQ,20.00,85.41,42,Female
Anna ZALEWSKA,36.98,68.27,56,Female
Margarida MARQUES,33.49,71.17,67,Female
Seán KELLY,31.16,73.46,69,Male
Leila CHAIBI,16.28,88.31,39,Female
Bernd LANGE,35.81,68.68,65,Male
Malin BJÖRK,33.02,70.51,49,Female
Rasmus ANDRESEN,21.40,81.69,35,Male
Marcos ROS SEMPERE,34.42,68.63,47,Male
Annie SCHREIJER-PIERIK,37.21,65.83,68,Female
Jerzy BUZEK,27.44,75.54,81,Male
Raphaël GLUCKSMANN,19.07,83.47,41,Male
Simona BONAFÈ,70.70,31.66,48,Female
Eugenia RODRÍGUEZ PALOP,32.09,69.34,51,Female
Robert BIEDROŃ,28.84,72.49,45,Male
