"name","age","gender","dimension","value"
"MEP",47,"Male","political",100
"MEP",47,"Male","social",98.98
"MEP",45,"Male","political",87.91
"MEP",45,"Male","social",93.14
"MEP",40,"Male","political",71.16
"MEP",40,"Male","social",93.95
"MEP",42,"Female","political",87.44
"MEP",42,"Female","social",72.8
"MEP",59,"Female","political",66.74
"MEP",59,"Female","social",92.12
"MEP",42,"Female","political",59.53
"MEP",42,"Female","social",98.42
"MEP",45,"Male","political",61.63
"MEP",45,"Male","social",96.29
"MEP",56,"Male","political",74.42
"MEP",56,"Male","social",79.51
"MEP",41,"Male","political",63.26
"MEP",41,"Male","social",89.27
"MEP",37,"Female","political",54.42
"MEP",37,"Female","social",95.42
"MEP",58,"Male","political",54.19
"MEP",58,"Male","social",95.07
"MEP",57,"Female","political",67.91
"MEP",57,"Female","social",79.92
"MEP",60,"Male","political",45.81
"MEP",60,"Male","social",97.66
"MEP",61,"Male","political",53.02
"MEP",61,"Male","social",90.39
"MEP",54,"Female","political",61.86
"MEP",54,"Female","social",81.19
"MEP",35,"Male","political",55.35
"MEP",35,"Male","social",85.86
"MEP",54,"Female","political",43.26
"MEP",54,"Female","social",95.88
"MEP",28,"Female","political",53.95
"MEP",28,"Female","social",84.14
"MEP",54,"Male","political",44.65
"MEP",54,"Male","social",92.07
"MEP",53,"Female","political",83.72
"MEP",53,"Female","social",51.64
"MEP",56,"Male","political",41.86
"MEP",56,"Male","social",92.32
"MEP",35,"Male","political",54.88
"MEP",35,"Male","social",78.44
"MEP",57,"Female","political",52.09
"MEP",57,"Female","social",80.02
"MEP",34,"Female","political",31.16
"MEP",34,"Female","social",98.98
"MEP",51,"Female","political",41.86
"MEP",51,"Female","social",87.44
"MEP",48,"Male","political",31.63
"MEP",48,"Male","social",96.29
"MEP",63,"Male","political",54.88
"MEP",63,"Male","social",73
"MEP",34,"Male","political",27.44
"MEP",34,"Male","social",100
"MEP",43,"Male","political",69.3
"MEP",43,"Male","social",58.1
"MEP",49,"Male","political",43.26
"MEP",49,"Male","social",83.78
"MEP",54,"Female","political",37.21
"MEP",54,"Female","social",89.27
"MEP",66,"Female","political",43.26
"MEP",66,"Female","social",83.17
"MEP",53,"Female","political",41.86
"MEP",53,"Female","social",84.39
"MEP",76,"Male","political",80.93
"MEP",76,"Male","social",44.88
"MEP",62,"Female","political",42.33
"MEP",62,"Female","social",82.97
"MEP",37,"Male","political",44.19
"MEP",37,"Male","social",81.08
"MEP",52,"Female","political",48.37
"MEP",52,"Female","social",76.76
"MEP",65,"Male","political",36.74
"MEP",65,"Male","social",88.36
"MEP",61,"Female","political",36.74
"MEP",61,"Female","social",88.25
"MEP",51,"Male","political",28.37
"MEP",51,"Male","social",96.59
"MEP",35,"Male","political",26.05
"MEP",35,"Male","social",98.83
"MEP",56,"Male","political",27.44
"MEP",56,"Male","social",97.25
"MEP",54,"Male","political",31.16
"MEP",54,"Male","social",93.54
"MEP",68,"Female","political",28.84
"MEP",68,"Female","social",95.32
"MEP",49,"Male","political",37.67
"MEP",49,"Male","social",86.22
"MEP",37,"Male","political",38.6
"MEP",37,"Male","social",85.1
"MEP",35,"Male","political",40.47
"MEP",35,"Male","social",83.17
"MEP",45,"Female","political",53.95
