"name","political","social","age","gender"
"MEP",100,98.98,47,"Male"
"MEP",87.91,93.14,45,"Male"
"MEP",71.16,93.95,40,"Male"
"MEP",87.44,72.8,42,"Female"
"MEP",66.74,92.12,59,"Female"
"MEP",59.53,98.42,42,"Female"
"MEP",61.63,96.29,45,"Male"
"MEP",74.42,79.51,56,"Male"
"MEP",63.26,89.27,41,"Male"
"MEP",54.42,95.42,37,"Female"
"MEP",54.19,95.07,58,"Male"
"MEP",67.91,79.92,57,"Female"
"MEP",45.81,97.66,60,"Male"
"MEP",53.02,90.39,61,"Male"
"MEP",61.86,81.19,54,"Female"
"MEP",55.35,85.86,35,"Male"
"MEP",43.26,95.88,54,"Female"
"MEP",53.95,84.14,28,"Female"
"MEP",44.65,92.07,54,"Male"
"MEP",83.72,51.64,53,"Female"
"MEP",41.86,92.32,56,"Male"
"MEP",54.88,78.44,35,"Male"
"MEP",52.09,80.02,57,"Female"
"MEP",31.16,98.98,34,"Female"
"MEP",41.86,87.44,51,"Female"
"MEP",31.63,96.29,48,"Male"
"MEP",54.88,73,63,"Male"
"MEP",27.44,100,34,"Male"
"MEP",69.3,58.1,43,"Male"
"MEP",43.26,83.78,49,"Male"
"MEP",37.21,89.27,54,"Female"
"MEP",43.26,83.17,66,"Female"
"MEP",41.86,84.39,53,"Female"
"MEP",80.93,44.88,76,"Male"
"MEP",42.33,82.97,62,"Female"
"MEP",44.19,81.08,37,"Male"
"MEP",48.37,76.76,52,"Female"
"MEP",36.74,88.36,65,"Male"
"MEP",36.74,88.25,61,"Female"
"MEP",28.37,96.59,51,"Male"
"MEP",26.05,98.83,35,"Male"
"MEP",27.44,97.25,56,"Male"
"MEP",31.16,93.54,54,"Male"
"MEP",28.84,95.32,68,"Female"
"MEP",37.67,86.22,49,"Male"
"MEP",38.6,85.1,37,"Male"
"MEP",40.47,83.17,35,"Male"
"MEP",53.95,69.24,45,"Female"
"MEP",33.95,88.2,52,"Female"
"MEP",38.6,83.53,49,"Female"
"MEP",40.47,81.08,76,"Female"
"MEP",36.28,85.2,63,"Female"
"MEP",56.74,64.71,54,"Female"
"MEP",27.44,93.14,54,"Male"
"MEP",40,80.02,61,"Male"
"MEP",35.35,84.59,51,"Male"
"MEP",33.49,85.71,48,"Male"
"MEP",25.12,93.8,46,"Male"
"MEP",33.02,85.86,48,"Male"
"MEP",48.84,70,37,"Male"
"MEP",26.98,91.56,36,"Female"
"MEP",27.91,90.08,73,"Male"
"MEP",34.88,82.97,45,"Female"
"MEP",29.3,88,39,"Male"
"MEP",41.4,75.9,54,"Female"
"MEP",57.21,59.53,48,"Female"
"MEP",40.93,75.8,58,"Female"
"MEP",17.21,98.68,31,"Female"
"MEP",48.84,66.95,51,"Male"
"MEP",60.93,54.69,62,"Female"
"MEP",21.4,93.54,38,"Female"
"MEP",21.86,92.98,40,"Female"
"MEP",40.47,74.32,36,"Male"
"MEP",50.23,64.36,55,"Male"
"MEP",33.02,80.93,53,"Male"
"MEP",55.35,58.61,45,"Male"
"MEP",29.3,84.44,45,"Female"
"MEP",32.56,81.08,28,"Female"
"MEP",34.42,79.2,45,"Female"
"MEP",40.93,72.54,47,"Female"
"MEP",40,72.64,44,"Male"
"MEP",29.3,82.92,64,"Male"
"MEP",26.05,86.12,64,"Male"
"MEP",31.16,80.63,48,"Female"
"MEP",45.12,66.39,36,"Male"
"MEP",32.09,79.36,37,"Male"
"MEP",45.12,65.88,56,"Male"
"MEP",25.58,85.05,52,"Male"
"MEP",33.95,76.36,49,"Female"
"MEP",35.81,74.47,45,"Female"
"MEP",35.81,74.32,68,"Male"
"MEP",53.37,56.78,68,"Male"
"MEP",50.7,58.81,32,"Female"
"MEP",37.21,72.29,49,"Female"
"MEP",53.95,55.56,48,"Female"
"MEP",33.02,76.05,57,"Female"
"MEP",46.51,62.32,40,"Female"
"MEP",47.44,61.41,60,"Female"
"MEP",34.42,74.27,38,"Female"
"MEP",47.91,60.64,50,"Male"
"MEP",30.7,77.83,40,"Female"
"MEP",35.81,71.98,39,"Male"
"MEP",27.91,79.76,47,"Female"
"MEP",40.93,66.54,37,"Male"
"MEP",25.12,82.15,36,"Male"
"MEP",31.63,75.59,35,"Female"
"MEP",46.98,59.98,64,"Female"
"MEP",33.49,73.46,68,"Male"
"MEP",21.86,84.9,68,"Male"
"MEP",44.65,61.66,62,"Male"
"MEP",36.28,70,65,"Female"
"MEP",34.42,71.73,44,"Male"
"MEP",20,85.41,42,"Female"
"MEP",36.98,68.27,56,"Female"
"MEP",33.49,71.17,67,"Female"
"MEP",31.16,73.46,69,"Male"
"MEP",16.28,88.31,39,"Female"
"MEP",35.81,68.68,65,"Male"
"MEP",33.02,70.51,49,"Female"
"MEP",21.4,81.69,35,"Male"
"MEP",34.42,68.63,47,"Male"
"MEP",37.21,65.83,68,"Female"
"MEP",27.44,75.54,81,"Male"
"MEP",19.07,83.47,41,"Male"
"MEP",70.7,31.66,48,"Female"
"MEP",32.09,69.34,51,"Female"
"MEP",28.84,72.49,45,"Male"
"MEP",32.09,68.98,52,"Female"
"MEP",27.91,73.15,66,"Male"
"MEP",56.28,44.68,71,"Female"
"MEP",20.47,80.32,41,"Male"
"MEP",27.44,73.31,41,"Female"
"MEP",51.16,49.36,46,"Female"
"MEP",27.91,72.49,52,"Female"
"MEP",26.98,71.68,49,"Male"
"MEP",25.12,73.51,34,"Female"
"MEP",40,58.56,54,"Female"
"MEP",40.47,57.95,58,"Female"
"MEP",27.44,70.71,51,"Male"
"MEP",26.98,71.12,42,"Male"
"MEP",36.74,61.2,51,"Female"
"MEP",39.07,58.86,56,"Female"
"MEP",24.65,72.9,75,"Male"
"MEP",22.79,74.73,69,"Male"
"MEP",41.86,55.51,38,"Female"
"MEP",13.49,82.92,63,"Male"
"MEP",13.95,82.36,51,"Female"
"MEP",14.42,81.75,60,"Male"
"MEP",17.21,78.59,41,"Male"
"MEP",13.95,81.59,55,"Male"
"MEP",20.47,75.03,23,"Female"
"MEP",35.35,60.08,54,"Male"
"MEP",25.81,69.59,72,"Female"
"MEP",53.02,42.39,60,"Male"
"MEP",14.42,80.93,38,"Male"
"MEP",33.49,61.86,31,"Female"
"MEP",24.65,70.51,50,"Female"
"MEP",34.42,60.54,47,"Female"
"MEP",27.44,67.51,58,"Male"
"MEP",41.86,52.92,54,"Female"
"MEP",23.26,70.97,34,"Female"
"MEP",40.93,53.22,65,"Male"
"MEP",31.16,62.83,61,"Male"
"MEP",29.3,64.66,50,"Female"
"MEP",34.88,59.02,45,"Female"
"MEP",22.33,71.53,46,"Male"
"MEP",21.86,71.78,73,"Female"
"MEP",34.88,58.71,52,"Male"
"MEP",30.7,62.88,48,"Female"
"MEP",37.21,55.97,32,"Female"
"MEP",30.23,62.83,45,"Female"
"MEP",42.33,50.58,55,"Male"
"MEP",15.81,76.76,45,"Male"
"MEP",17.21,75.34,52,"Female"
"MEP",35.35,57.19,34,"Female"
"MEP",40.47,51.39,42,"Male"
"MEP",33.02,58.51,47,"Female"
"MEP",15.81,75.39,66,"Male"
"MEP",34.42,56.47,45,"Female"
"MEP",30.23,60.54,49,"Female"
"MEP",5.58,84.95,73,"Male"
"MEP",30.7,59.58,49,"Male"
"MEP",31.63,58.61,58,"Male"
"MEP",35.81,54.19,62,"Female"
"MEP",19.53,70.31,33,"Male"
"MEP",12.56,77.07,43,"Male"
"MEP",9.77,79.76,41,"Female"
"MEP",46.51,43,58,"Female"
"MEP",25.58,63.59,69,"Male"
"MEP",22.33,66.8,35,"Male"
"MEP",33.49,55.51,60,"Female"
"MEP",19.53,69.19,29,"Male"
"MEP",36.28,52.31,56,"Male"
"MEP",10.23,78.34,63,"Male"
"MEP",19.53,68.53,51,"Female"
"MEP",9.3,78.54,46,"Male"
"MEP",26.05,61.41,47,"Male"
"MEP",47.91,39.44,52,"Male"
"MEP",51.63,35.17,75,"Male"
"MEP",19.07,67.46,48,"Male"
"MEP",17.67,68.63,85,"Male"
"MEP",30.7,55.56,50,"Female"
"MEP",46.51,39.49,60,"Male"
"MEP",36.74,48.9,49,"Female"
"MEP",40.93,44.42,65,"Male"
"MEP",25.12,60.03,39,"Male"
"MEP",32.56,52.51,55,"Female"
"MEP",27.44,57.34,63,"Male"
"MEP",36.28,48.19,45,"Male"
"MEP",15.35,68.83,45,"Female"
"MEP",21.4,62.68,54,"Female"
"MEP",30.23,53.68,59,"Female"
"MEP",7.44,75.49,42,"Female"
"MEP",23.72,58.36,66,"Male"
"MEP",30.23,51.59,50,"Female"
"MEP",42.33,38.37,44,"Female"
"MEP",20.93,59.73,46,"Male"
"MEP",25.12,55.51,58,"Female"
"MEP",20,60.49,57,"Male"
"MEP",44.42,36.08,60,"Male"
"MEP",20,60.08,63,"Male"
"MEP",5.58,74.47,26,"Male"
"MEP",14.88,65.12,43,"Female"
"MEP",2.33,77.53,65,"Male"
"MEP",24.19,55.51,39,"Female"
"MEP",7.91,71.73,42,"Female"
"MEP",13.95,65.47,67,"Female"
"MEP",34.42,44.93,58,"Female"
"MEP",33.49,45.85,71,"Female"
"MEP",31.63,47.63,53,"Male"
"MEP",20.47,58.76,57,"Male"
"MEP",23.72,55.25,36,"Male"
"MEP",30.7,47.78,41,"Female"
"MEP",13.49,64.71,34,"Female"
"MEP",23.26,54.69,66,"Male"
"MEP",18.6,59.27,35,"Male"
"MEP",21.4,55.81,41,"Female"
"MEP",9.77,67.31,70,"Male"
"MEP",43.72,33.19,39,"Male"
"MEP",28.37,48.39,65,"Female"
"MEP",31.16,45.39,56,"Male"
"MEP",16.28,60.24,55,"Male"
"MEP",39.07,37.31,60,"Male"
"MEP",39.07,36.64,63,"Male"
"MEP",16.28,59.22,56,"Male"
"MEP",33.02,42.44,53,"Female"
"MEP",32.09,43.2,58,"Female"
"MEP",29.77,45.49,52,"Male"
"MEP",23.72,50.73,54,"Female"
"MEP",20.47,53.78,71,"Female"
"MEP",32.09,42.08,58,"Male"
"MEP",66.98,7.08,58,"Male"
"MEP",15.81,58.05,45,"Male"
"MEP",32.09,41.78,55,"Male"
"MEP",18.14,55.56,64,"Male"
"MEP",26.05,47.47,35,"Female"
"MEP",26.51,47.02,58,"Female"
"MEP",27.91,45.54,37,"Female"
"MEP",49.77,23.63,41,"Male"
"MEP",12.33,60.9,52,"Male"
"MEP",40.47,32.22,48,"Male"
"MEP",19.53,53.07,36,"Male"
"MEP",24.19,48.39,48,"Male"
"MEP",29.77,42.75,48,"Male"
"MEP",32.09,40.25,49,"Female"
"MEP",28.84,43.46,40,"Male"
"MEP",22.79,49.15,68,"Male"
"MEP",18.6,53.32,58,"Male"
"MEP",16.28,55.56,53,"Female"
"MEP",29.3,42.54,52,"Male"
"MEP",17.67,53.73,45,"Male"
"MEP",19.53,51.85,37,"Female"
"MEP",35.81,35.37,58,"Male"
"MEP",11.16,59.47,65,"Male"
"MEP",36.74,33.64,45,"Female"
"MEP",21.86,48.39,51,"Female"
"MEP",35.35,34.81,27,"Female"
"MEP",17.67,52.46,60,"Female"
"MEP",38.14,31.81,56,"Male"
"MEP",24.19,45.75,51,"Male"
"MEP",33.49,36.44,61,"Male"
"MEP",33.49,36.03,59,"Male"
"MEP",26.51,42.95,49,"Male"
"MEP",46.51,22.46,51,"Male"
"MEP",35.81,32.98,41,"Male"
"MEP",28.84,39.85,35,"Female"
"MEP",34.77,33.9,65,"Male"
"MEP",16.28,52.31,42,"Female"
"MEP",36.28,32.27,49,"Female"
"MEP",2.33,66.19,38,"Male"
"MEP",50.7,17.63,58,"Male"
"MEP",40.93,27.29,42,"Male"
"MEP",33.02,35.07,47,"Male"
"MEP",26.98,40.97,74,"Male"
"MEP",39.07,28.86,42,"Male"
"MEP",19.53,47.88,36,"Male"
"MEP",19.53,47.83,42,"Male"
"MEP",14.88,52.36,57,"Male"
"MEP",27.91,39.19,46,"Male"
"MEP",19.53,47.37,33,"Male"
"MEP",10.7,56.02,60,"Male"
"MEP",20.93,45.69,40,"Male"
"MEP",43.72,22.76,60,"Male"
"MEP",46.05,20.22,69,"Male"
"MEP",33.95,32.22,32,"Female"
"MEP",36.74,29.42,73,"Male"
"MEP",20.93,45.03,53,"Female"
"MEP",6.98,58.97,54,"Male"
"MEP",7.91,57.9,47,"Female"
"MEP",12.56,53.22,35,"Female"
"MEP",18.14,47.58,41,"Male"
"MEP",12.56,53.02,34,"Female"
"MEP",19.07,46.41,55,"Male"
"MEP",38.14,27.24,65,"Male"
"MEP",32.09,33.19,36,"Male"
"MEP",20.47,44.58,35,"Male"
"MEP",19.53,45.24,30,"Female"
"MEP",26.51,38.02,69,"Female"
"MEP",23.26,41.22,69,"Male"
"MEP",11.63,52.81,43,"Male"
"MEP",30.7,33.69,54,"Male"
"MEP",10.7,53.22,55,"Male"
"MEP",26.98,36.95,33,"Female"
"MEP",10.7,53.17,57,"Female"
"MEP",16.74,46.97,51,"Female"
"MEP",25.12,38.37,47,"Male"
"MEP",27.91,35.58,77,"Male"
"MEP",27.44,35.98,58,"Male"
"MEP",51.63,11.68,57,"Male"
"MEP",0.93,62.32,65,"Male"
"MEP",25.12,38.12,52,"Male"
"MEP",35.81,27.29,46,"Female"
"MEP",21.86,41.22,37,"Male"
"MEP",31.16,31.86,42,"Female"
"MEP",10.7,52.2,68,"Female"
"MEP",34.42,28.41,60,"Female"
"MEP",7.91,54.39,59,"Male"
"MEP",39.07,23.17,42,"Male"
"MEP",32.09,30.03,62,"Male"
"MEP",18.14,43.97,29,"Female"
"MEP",26.98,35.02,56,"Female"
"MEP",26.51,35.42,43,"Male"
"MEP",17.67,43.61,58,"Female"
"MEP",14.88,46.25,46,"Male"
"MEP",19.53,41.58,56,"Male"
"MEP",41.86,19,46,"Female"
"MEP",38.6,22.1,73,"Male"
"MEP",42.79,17.58,69,"Male"
"MEP",27.91,32.07,58,"Male"
"MEP",27.44,32.53,38,"Male"
"MEP",38.14,21.64,66,"Female"
"MEP",56.28,3.32,43,"Male"
"MEP",13.95,45.49,57,"Female"
"MEP",21.86,37.51,49,"Female"
"MEP",26.51,32.73,49,"Female"
"MEP",23.72,34.66,39,"Male"
"MEP",34.88,23.42,33,"Male"
"MEP",24.65,33.54,49,"Male"
"MEP",23.26,34.86,49,"Male"
"MEP",27.91,30.14,32,"Female"
"MEP",44.65,13.36,67,"Female"
"MEP",12.56,45.34,45,"Female"
"MEP",27.44,30.34,54,"Male"
"MEP",23.26,34.36,42,"Male"
"MEP",6.05,51.39,44,"Male"
"MEP",0,57.34,59,"Male"
"MEP",23.26,33.95,64,"Female"
"MEP",25.12,32.07,40,"Male"
"MEP",30.7,26.47,62,"Male"
"MEP",33.02,24.14,66,"Male"
"MEP",23.26,33.8,62,"Female"
"MEP",25.12,31.61,64,"Female"
"MEP",26.98,29.68,32,"Male"
"MEP",28.14,28.15,55,"Male"
"MEP",19.53,36.64,37,"Female"
"MEP",30.23,25.66,69,"Female"
"MEP",13.02,42.75,45,"Male"
"MEP",14.88,40.71,55,"Male"
"MEP",48.84,6.75,39,"Male"
"MEP",24.19,31.36,63,"Male"
"MEP",46.98,8.51,39,"Male"
"MEP",12.09,43.05,38,"Male"
"MEP",28.37,26.73,58,"Male"
"MEP",19.53,35.47,31,"Female"
"MEP",17.67,37.31,57,"Female"
