,fullName,country,politicalGroup,PoliticalInfluence,SocialInfluence,OverallInfluence
1,Magdalena ADAMOWICZ,Poland,EPP,77,24,50
2,Asim ADEMOV,Bulgaria,EPP,67,36,52
3,Isabella ADINOLFI,Italy,EPP,10,76,43
4,Matteo ADINOLFI,Italy,ID,78,18,48
5,Alex AGIUS SALIBA,Malta,S&D,100,17,58
6,Mazaly AGUILAR,Spain,ECR,75,44,60
7,Clara AGUILERA,Spain,S&D,41,68,54
8,Alviina ALAMETSÄ,Finland,Greens/EFA,0,7,4
9,François ALFONSI,France,Greens/EFA,14,78,46
10,Atidzhe ALIEVA-VELI,Bulgaria,Renew Europe,8,65,36
11,Abir AL-SAHLANI,Sweden,Renew Europe,93,87,90
12,Álvaro AMARO,Portugal,EPP,53,67,60
13,Andris AMERIKS,Latvia,S&D,65,68,66
14,Rasmus ANDRESEN,Germany,Greens/EFA,16,63,40
15,Barry ANDREWS,Ireland,Renew Europe,22,56,39
16,Eric ANDRIEU,France,S&D,3,81,42
17,Mathilde ANDROUËT,France,ID,20,55,38
18,Nikos ANDROULAKIS,Greece,S&D,87,58,72
19,Marc ANGEL,Luxembourg,S&D,33,19,26
20,Gerolf ANNEMANS,Belgium,ID,12,63,38
21,Andrus ANSIP,Estonia,Renew Europe,84,95,90
22,Attila ARA-KOVÁCS,Hungary,S&D,68,20,44
23,Maria ARENA,Belgium,S&D,64,88,76
24,Pascal ARIMONT,Belgium,EPP,57,12,34
25,Bartosz ARŁUKOWICZ,Poland,EPP,58,8,33
26,Konstantinos ARVANITIS,Greece,GUE/NGL,57,50,54
27,Anna-Michelle ASIMAKOPOULOU,Greece,EPP,13,2,8
28,Manon AUBRY,France,GUE/NGL,27,35,31
29,Margrete AUKEN,Denmark,Greens/EFA,5,9,7
30,Petras AUŠTREVIČIUS,Lithuania,Renew Europe,21,58,40
31,Carmen AVRAM,Romania,S&D,28,7,18
32,Malik AZMANI,Netherlands,Renew Europe,61,10,36
33,Simona BALDASSARRE,Italy,ID,69,4,36
34,Marek Paweł BALT,Poland,S&D,8,76,42
35,Jordan BARDELLA,France,ID,69,53,61
36,Katarina BARLEY,Germany,S&D,99,3,51
37,Pernando BARRENA ARZA,Spain,GUE/NGL,17,82,50
38,Pietro BARTOLO,Italy,S&D,47,80,64
39,Traian BĂSESCU,Romania,EPP,99,11,55
40,Alessandra BASSO,Italy,ID,48,98,73
41,José Ramón BAUZÁ DÍAZ,Spain,Renew Europe,83,53,68
42,Nicolas BAY,France,ID,69,93,81
43,Gunnar BECK,Germany,ID,24,76,50
44,Nicola BEER,Germany,Renew Europe,88,1,44
45,Tiziana BEGHIN,Italy,Non-attached Members,36,43,40
46,Aurélia BEIGNEUX,France,ID,24,62,43
47,Marek BELKA,Poland,S&D,30,67,48
48,François-Xavier BELLAMY,France,EPP,9,63,36
49,Brando BENIFEI,Italy,S&D,89,0,44
50,Isabel BENJUMEA BENJUMEA,Spain,EPP,29,54,42
51,Monika BEŇOVÁ,Slovakia,S&D,35,74,54
52,Hildegard BENTELE,Germany,EPP,58,33,46
53,Tom BERENDSEN,Netherlands,EPP,88,61,74
54,Lars Patrick BERG,Germany,ECR,99,46,72
55,Stefan BERGER,Germany,EPP,94,34,64
56,Erik BERGKVIST,Sweden,S&D,60,70,65
57,Sergio BERLATO,Italy,ECR,50,52,51
58,Silvio BERLUSCONI,Italy,EPP,77,49,63
59,Robert BIEDROŃ,Poland,S&D,71,91,81
60,Adam BIELAN,Poland,ECR,52,50,51
61,Stéphane BIJOUX,France,Renew Europe,22,90,56
62,Izaskun BILBAO BARANDICA,Spain,Renew Europe,48,36,42
63,Vladimír BILČÍK,Slovakia,EPP,60,32,46
64,Dominique BILDE,France,ID,26,58,42
65,Gabriele BISCHOFF,Germany,S&D,14,57,36
66,Benoît BITEAU,France,Greens/EFA,90,88,89
67,Mara BIZZOTTO,Italy,ID,44,30,37
68,Malin BJÖRK,Sweden,GUE/NGL,100,5,52
69,Vasile BLAGA,Romania,EPP,13,46,30
70,Michael BLOSS,Germany,Greens/EFA,19,48,34
71,Andrea BOCSKOR,Hungary,Non-attached Members,17,36,26
72,Damian BOESELAGER,Germany,Greens/EFA,12,60,36
73,Ioan-Rareş BOGDAN,Romania,EPP,16,39,28
74,Franc BOGOVIČ,Slovenia,EPP,98,48,73
75,Manuel BOMPARD,France,GUE/NGL,37,46,42
76,Simona BONAFÈ,Italy,S&D,10,44,27
77,Anna BONFRISCO,Italy,ID,15,43,29
78,Paolo BORCHIA,Italy,ID,60,86,73
79,Biljana BORZAN,Croatia,S&D,68,49,58
80,Marc BOTENGA,Belgium,GUE/NGL,18,91,54
81,Vlad-Marius BOTOŞ,Romania,Renew Europe,61,92,76
82,Geert BOURGEOIS,Belgium,ECR,28,85,56
83,Gilles BOYER,France,Renew Europe,15,99,57
84,Patrick BREYER,Germany,Greens/EFA,97,16,56
85,Milan BRGLEZ,Slovenia,S&D,15,76,46
86,Saskia BRICMONT,Belgium,Greens/EFA,68,21,44
87,Joachim Stanisław BRUDZIŃSKI,Poland,ECR,7,43,25
88,Annika BRUNA,France,ID,79,67,73
89,Sylvie BRUNET,France,Renew Europe,43,96,70
90,Markus BUCHHEIT,Germany,ID,100,34,67
91,Daniel BUDA,Romania,EPP,69,89,79
92,Udo BULLMANN,Germany,S&D,80,75,78
93,Delara BURKHARDT,Germany,S&D,62,58,60
94,Martin BUSCHMANN,Germany,Non-attached Members,51,13,32
95,Cristian-Silviu BUŞOI,Romania,EPP,30,55,42
96,Reinhard BÜTIKOFER,Germany,Greens/EFA,81,17,49
97,Jorge BUXADÉ VILLALBA,Spain,ECR,61,9,35
98,Jerzy BUZEK,Poland,EPP,25,50,38
99,Carlo CALENDA,Italy,S&D,40,71,56
100,Marco CAMPOMENOSI,Italy,ID,5,34,20
101,Jordi CAÑAS,Spain,Renew Europe,96,97,96
